community,ca_x,ca
DOUGLAS,4,153
OAKLAND,2,171
FULLER PARK,5,113
GRAND BOULEVARD,1,133
KENWOOD,3,184
LINCOLN SQUARE,1,248
WASHINGTON PARK,8,80
HYDE PARK,11,173
WOODLAWN,2,106
ROGERS PARK,2,163
JEFFERSON PARK,0,219
FOREST GLEN,0,239
NORTH PARK,2,197
ALBANY PARK,4,205
PORTAGE PARK,3,190
IRVING PARK,3,206
DUNNING,1,200
MONTCLARE,2,187
BELMONT CRAGIN,1,168
WEST RIDGE,6,175
HERMOSA,0,205
AVONDALE,0,222
LOGAN SQUARE,6,304
HUMBOLDT PARK,0,140
WEST TOWN,14,300
AUSTIN,1,124
WEST GARFIELD PARK,0,81
EAST GARFIELD PARK,12,91
NEAR WEST SIDE,7,316
NORTH LAWNDALE,3,87
UPTOWN,10,222
SOUTH LAWNDALE,0,130
LOWER WEST SIDE,3,235
NEAR SOUTH SIDE,25,338
ARMOUR SQUARE,2,265
NORWOOD PARK,0,228
NEAR NORTH SIDE,14,459
LOOP,32,467
SOUTH SHORE,1,69
CHATHAM,1,96
AVALON PARK,0,83
SOUTH CHICAGO,1,42
BURNSIDE,0,94
MCKINLEY PARK,2,164
LAKE VIEW,9,301
CALUMET HEIGHTS,1,103
ROSELAND,1,85
NORTH CENTER,1,275
PULLMAN,0,116
SOUTH DEERING,1,70
EAST SIDE,2,105
WEST PULLMAN,4,77
RIVERDALE,0,44
HEGEWISCH,0,90
GARFIELD RIDGE,0,213
ARCHER HEIGHTS,0,151
BRIGHTON PARK,0,212
BRIDGEPORT,1,204
NEW CITY,6,137
WEST ELSDON,0,169
GAGE PARK,2,143
CLEARING,0,189
WEST LAWN,0,129
CHICAGO LAWN,2,113
WEST ENGLEWOOD,3,59
ENGLEWOOD,1,55
GREATER GRAND CROSSING,1,74
LINCOLN PARK,56,365
ASHBURN,1,160
AUBURN GRESHAM,3,100
BEVERLY,3,175
WASHINGTON HEIGHTS,0,110
MOUNT GREENWOOD,1,178
MORGAN PARK,2,123
OHARE,0,151
EDGEWATER,5,217
EDISON PARK,1,217
